,id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta,genero,minutos,horas,dia,mes
2057041,23816810,960,2024-11-11 01:29:37,7,007 - OBELISCO,CARLOS PELEGRINI 215,-58.381098,-34.606498,2024-11-11 01:45:37,172,172 - BRASIL,BRASIL&DEFENSA,-58.371082,-34.625426,1164681.0,FIT,MALE,29,11,1,11
2768117,23816811,1021,2024-11-11 01:32:54,65,065 - Julián Álvarez,3822 Guemes,-58.4157873,-34.5873124,2024-11-11 01:49:55,186,186 - MANZANA 66,2875 Moreno,-58.4064415,-34.6136356,1054762.0,FIT,MALE,32,11,1,11
2396953,23816813,1299,2024-11-11 01:36:12,474,224 - BAIGORRIA,Baigorria 4101,-58.50301999999999,-34.6108915,2024-11-11 01:57:51,271,365 - Venancio Flores,Venancio Flores 3170,-58.473725,-34.629967,1103560.0,FIT,MALE,36,11,1,11
2854698,23816814,1611,2024-11-11 01:36:37,468,084 - TEATRO PICADERO,Riobamba 403,-58.39373749999999,-34.6042288,2024-11-11 02:03:28,403,316 - Buenos Aires,Suarez 3150,-58.39387590287583,-34.6446835804428,596287.0,FIT,FEMALE,36,11,1,11
2765160,23816815,48,2024-11-11 01:37:13,189,189 - POSADAS,1350 Posadas,-58.3852113,-34.5886889,2024-11-11 01:38:01,189,189 - POSADAS,1350 Posadas,-58.3852113,-34.5886889,144494.0,FIT,MALE,37,11,1,11
2396950,23816816,238,2024-11-11 01:37:30,517,332 - PACÍFICO II,Av. Int. Bullrich 300,-58.42481399999999,-34.5745008,2024-11-11 01:41:28,364,381 - Matienzo Y Arce,Teniente Benjamín Matienzo 1998,-58.43558,-34.570161,1023718.0,FIT,MALE,37,11,1,11
2057166,23816817,2561,2024-11-11 01:38:04,86,086 - SAAVEDRA,1019 Saavedra,-58.4016808,-34.6212681,2024-11-11 02:20:45,278,233 - MONROE,2519 Superi,-58.46981300000001,-34.564122,1214767.0,ICONIC,OTHER,38,11,1,11
2765159,23816819,25,2024-11-11 01:38:45,189,189 - POSADAS,1350 Posadas,-58.3852113,-34.5886889,2024-11-11 01:39:10,189,189 - POSADAS,1350 Posadas,-58.3852113,-34.5886889,144494.0,ICONIC,MALE,38,11,1,11
2393428,23816823,676,2024-11-11 01:39:12,27,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2024-11-11 01:50:28,69,069 - Ecuador,"1226 Ecuador & Mansilla, Lucio Norberto, General",-58.4046092,-34.5961006,961092.0,FIT,FEMALE,39,11,1,11
2394031,23816825,80,2024-11-11 01:39:31,27,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2024-11-11 01:40:51,27,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,1231816.0,FIT,MALE,39,11,1,11
2056971,23816828,391,2024-11-11 01:40:07,164,164 - FACULTAD DE INGENIERIA,AV. PASEO COLÓN 811,-58.3698984,-34.617301,2024-11-11 01:46:38,59,018 - Independencia,Idependencia y Bernardo de Irigoyen,-58.380565,-34.617654,1222629.0,FIT,FEMALE,40,11,1,11
2347834,23816831,550,2024-11-11 01:40:16,172,172 - BRASIL,BRASIL&DEFENSA,-58.371082,-34.625426,2024-11-11 01:49:26,79,079 - AZUCENA VILLAFLOR,"Villaflor, Azucena & Dealessi, Pierina",-58.36393000000001,-34.61189,1209824.0,FIT,MALE,40,11,1,11
2393462,23816834,1006,2024-11-11 01:42:14,517,332 - PACÍFICO II,Av. Int. Bullrich 300,-58.42481399999999,-34.5745008,2024-11-11 01:59:00,70,070 - ARAOZ,1413 Araoz & Gorriti CABA,-58.4260597,-34.5926862,1218864.0,ICONIC,MALE,42,11,1,11
2767751,23816835,2,2024-11-11 01:43:01,27,027 - Montevideo,Cordoba Av. & Montevideo,-58.3900887,-34.599068,2024-11-11 01:43:03,64,064 - RIOBAMBA,Riobamba 1264 & Juncal,-58.3941087,-34.5936508,1088639.0,ICONIC,MALE,43,11,1,11
2789846,23816846,356,2024-11-11 01:49:07,212,129 - Velasco,J.Ramirez de Velasco 285,-58.434875,-34.600275,2024-11-11 01:55:03,70,070 - ARAOZ,1413 Araoz & Gorriti CABA,-58.4260597,-34.5926862,1151305.0,FIT,MALE,49,11,1,11
2789765,23816861,586,2024-11-11 01:56:52,70,070 - ARAOZ,1413 Araoz & Gorriti CABA,-58.4260597,-34.5926862,2024-11-11 02:06:38,96,096 - Carlos Gardel,3302 Guardia Vieja & Aguero,-58.4116586,-34.6027814,1199151.0,FIT,FEMALE,56,11,1,11
